Group 1,Group 2,H,p-value,q-value
B101 (n=10),B103 (n=13),0.18846153846153868,0.6642001619664316,0.9633340232571342
B101 (n=10),B105 (n=10),0.09142857142856542,0.7623688184698474,0.9740806385962301
B101 (n=10),B107 (n=9),0.240000000000002,0.6242061147664044,0.9633340232571342
B101 (n=10),B109 (n=10),0.2057142857142793,0.6501474440948594,0.9633340232571342
B101 (n=10),B141 (n=4),5.119999999999997,0.023651616655355968,0.6504194580222892
B101 (n=10),B143 (n=7),0.6095238095238145,0.4349671606144264,0.9014261424289131
B101 (n=10),B145 (n=5),0.7350000000000065,0.39126727928263727,0.8966541816893772
B101 (n=10),B147 (n=4),0.3200000000000003,0.5716076449533314,0.9633340232571342
B101 (n=10),B159 (n=4),0.0799999999999983,0.7772974107895237,0.9740806385962301
B101 (n=10),BBT2014-00035 (n=1),0.8999999999999986,0.34278171114790906,0.8966541816893772
B103 (n=13),B105 (n=10),0.0038461538461547207,0.9505490015219512,1.0
B103 (n=13),B107 (n=9),0.5897435897435912,0.44251828810146643,0.9014261424289131
B103 (n=13),B109 (n=10),0.06153846153844711,0.8040806574719839,0.9740806385962301
B103 (n=13),B141 (n=4),4.153846153846153,0.041540067009885225,0.7615678951812291
B103 (n=13),B143 (n=7),0.12715855572997725,0.721396531127884,0.9677270539520395
B103 (n=13),B145 (n=5),1.7708502024291448,0.18327689478861614,0.8966541816893772
B103 (n=13),B147 (n=4),1.03846153846154,0.3081795474670508,0.8966541816893772
B103 (n=13),B159 (n=4),0.012820512820510999,0.9098500327472909,0.9812108196294315
B103 (n=13),BBT2014-00035 (n=1),0.13846153846153442,0.7098152665657216,0.9677270539520395
B105 (n=10),B107 (n=9),0.1666666666666714,0.6830913983096043,0.9633340232571342
B105 (n=10),B109 (n=10),0.02285714285714846,0.8798291600118151,0.976290792379877
B105 (n=10),B141 (n=4),2.8799999999999955,0.08968602177036465,0.8221218662283427
B105 (n=10),B143 (n=7),0.03809523809523796,0.8452520242196516,0.9740806385962301
B105 (n=10),B145 (n=5),0.5399999999999991,0.4624327264504765,0.9083499983848646
B105 (n=10),B147 (n=4),0.17999999999999972,0.6713732405408728,0.9633340232571342
B105 (n=10),B159 (n=4),0.020000000000003126,0.8875370839817064,0.976290792379877
B105 (n=10),BBT2014-00035 (n=1),0.3999999999999986,0.5270892568655388,0.9529086714304877
B107 (n=9),B109 (n=10),0.6666666666666643,0.4142161782425261,0.9014261424289131
B107 (n=9),B141 (n=4),2.3809523809523796,0.12282264810139236,0.8651456387765458
B107 (n=9),B143 (n=7),1.0112044817927242,0.31461445529998266,0.8966541816893772
B107 (n=9),B145 (n=5),0.2177777777777763,0.6407383818025418,0.9633340232571342
B107 (n=9),B147 (n=4),0.2142857142857153,0.6434288435636197,0.9633340232571342
B107 (n=9),B159 (n=4),0.3809523809523867,0.5370939784426385,0.9529086714304877
B107 (n=9),BBT2014-00035 (n=1),0.7575757575757578,0.3840882494738519,0.8966541816893772
B109 (n=10),B141 (n=4),2.8799999999999955,0.08968602177036465,0.8221218662283427
B109 (n=10),B143 (n=7),0.03809523809523796,0.8452520242196516,0.9740806385962301
B109 (n=10),B145 (n=5),0.960000000000008,0.3271868777903008,0.8966541816893772
B109 (n=10),B147 (n=4),0.9799999999999969,0.3221988061625795,0.8966541816893772
B109 (n=10),B159 (n=4),0.0,1.0,1.0
B109 (n=10),BBT2014-00035 (n=1),0.8999999999999986,0.34278171114790906,0.8966541816893772
B141 (n=4),B143 (n=7),3.5714285714285694,0.058781721355358946,0.8082486686361855
B141 (n=4),B145 (n=5),0.9599999999999973,0.3271868777903035,0.8966541816893772
B141 (n=4),B147 (n=4),0.0,1.0,1.0
B141 (n=4),B159 (n=4),5.333333333333329,0.020921335337794052,0.6504194580222892
B141 (n=4),BBT2014-00035 (n=1),2.0,0.15729920705028105,0.8651456387765458
B143 (n=7),B145 (n=5),1.1142857142857139,0.29115222318363254,0.8966541816893772
B143 (n=7),B147 (n=4),0.8928571428571459,0.34470422200695694,0.8966541816893772
B143 (n=7),B159 (n=4),0.0357142857142847,0.850106739138528,0.9740806385962301
B143 (n=7),BBT2014-00035 (n=1),0.0476190476190439,0.8272593465627179,0.9740806385962301
B145 (n=5),B147 (n=4),0.0,1.0,1.0
B145 (n=5),B159 (n=4),0.9599999999999973,0.3271868777903035,0.8966541816893772
B145 (n=5),BBT2014-00035 (n=1),2.1428571428571423,0.14323490752466572,0.8651456387765458
B147 (n=4),B159 (n=4),0.75,0.3864762307712325,0.8966541816893772
B147 (n=4),BBT2014-00035 (n=1),2.0,0.15729920705028105,0.8651456387765458
B159 (n=4),BBT2014-00035 (n=1),0.5,0.47950012218695337,0.9093967834580151
